heading|activity.type|activity.confidence|activity.timestampMs|verticalAccuracy|velocity|accuracy|longitude|latitude|altitude|timestampMs|userid
,STILL,1,1582472405,2,,28,217677333,382809771,49,1582105479,55435242412a
,UNKNOWN,2,1582472489,,,1899,217705955,382857097,,1582105605,55435242412a
,IN_CAR,10,1582472642,,,1899,217705955,382857097,,1582105681,55435242412a
,UNKNOWN,2,1582472724,,,1899,217705955,382857097,,1582105763,55435242412a
,IN_CAR,1,1582472883,,,1899,217705955,382857097,,1582105815,55435242412a
,IN_CAR,10,1582472961,,,1899,217705955,382857097,,1582105867,55435242412a
,IN_CAR,10,1582473114,,,1899,217705955,382857097,,1582105916,55435242412a
,UNKNOWN,1,1582473207,,,1899,217705955,382857097,,1582105942,55435242412a
,IN_CAR,1,1582473360,,,1899,217705955,382857097,,1582105993,55435242412a
,IN_CAR,1,1582473442,,,1899,217705955,382857097,,1582106054,55435242412a
,UNKNOWN,2,1582473595,2,,17,217415997,382572827,40,1582113185,55435242412a
,IN_CAR,10,1582473680,2,,29,217416411,382572498,40,1582113303,55435242412a
,UNKNOWN,1,1582473833,2,,29,217416411,382572498,40,1582113336,55435242412a
306,UNKNOWN,3,1582473925,2,0,17,217416171,382572815,40,1582113352,55435242412a
330,IN_CAR,10,1582474043,2,0,25,217415929,382572892,40,1582113369,55435242412a
327,UNKNOWN,1,1582474196,2,0,21,217415979,382572966,40,1582113387,55435242412a
168,STILL,100,1582474280,2,0,26,217416216,382572693,40,1582113409,55435242412a
339,IN_CAR,1,1582474434,2,0,26,217415976,382572962,40,1582113425,55435242412a
172,TILTING,100,1582474567,2,0,25,217416102,382572801,40,1582113445,55435242412a
332,STILL,100,1582474593,2,1,23,217415431,382573653,40,1582113467,55435242412a
,IN_CAR,10,1582474820,7,,27,217460479,382648308,50,1582113597,55435242412a
,IN_CAR,10,1582474964,7,,23,217468657,382662820,50,1582113624,55435242412a
,UNKNOWN,1,1582475053,7,,25,217430726,382666541,50,1582113642,55435242412a
,ON_BICYCLE,1,1582475265,2,,23,217426048,382667256,36,1582113705,55435242412a
280,STILL,100,1582475362,2,0,17,217423420,382667625,36,1582113717,55435242412a
193,STILL,100,1582475498,2,3,28,217421107,382660634,35,1582113732,55435242412a
,UNKNOWN,1,1582475566,2,,17,217416436,382662676,37,1582113752,55435242412a
184,TILTING,100,1582475628,2,0,87,217418063,382662970,37,1582113774,55435242412a
,UNKNOWN,1,1582475663,,,2000,217419030,382655112,,1582113850,55435242412a
,UNKNOWN,3,1582475814,,,2000,217419030,382655112,,1582113921,55435242412a
,TILTING,100,1582475873,,,2000,217419030,382655112,,1582113987,55435242412a
,STILL,1,1582475911,,,2000,217419030,382655112,,1582114049,55435242412a
,IN_CAR,1,1582475971,,,2000,217419030,382655112,,1582114111,55435242412a
,UNKNOWN,3,1582476048,,,2000,217419030,382655112,,1582114176,55435242412a
,ON_BICYCLE,1,1582476160,,,2000,217419030,382655112,,1582114243,55435242412a
,STILL,1,1582476366,,,2000,217419030,382655112,,1582114365,55435242412a
